"ident","iata_code","name","municipality","iso_country","iso_region"
"5A8","WKK","Aleknagik / New Airport","Aleknagik","US","US-AK"
"5AK0","","Trading Bay Production Airport","Trading Bay","US","US-AK"
"5AK2","","Howards Airport","North Pole","US","US-AK"
"5AK3","","Airway Airport","North Pole","US","US-AK"
"5AK5","","Todds Strip","Wasilla","US","US-AK"
"5AK6","","Colberg Airport","Palmer","US","US-AK"
"5AK8","","Memory Lake Airport","Wasilla","US","US-AK"
"5AK9","","Grandview Subdivision Airport","Palmer","US","US-AK"
"5AL1","","Mc Gowin Field","Chapman","US","US-AL"
"5AL3","","Flying X Ranch Airport","Montevallo","US","US-AL"
"5AL5","","Big River Airpark","Tuscumbia","US","US-AL"
"5AL7","","John H Hataway Airport","Kinston","US","US-AL"
"5AL8","","Fairlane Airport","Samson","US","US-AL"
"5AN5","","Chinitna West Glacier Airport","Homer","US","US-AK"
"5AR1","","Tillar Airport","Tillar","US","US-AR"
"5AR2","","Turrell Flying Service Airport","Turrell","US","US-AR"
"5AR7","","Keller Airfield","Weiner","US","US-AR"
"5AZ3","","Pegasus Airpark","Queen Creek","US","US-AZ"
"5AZ6","","Motown Airport","Mobile","US","US-AZ"
"5AZ7","","Carranza Farm Airstrip","Stanfield","US","US-AZ"
"5AZ9","","Regeneration Airport","Fort Thomas","US","US-AZ"
"5B1","","John H Boylan State (Island Pond) Airport","Island Pond","US","US-VT"
"5B4","","Bowbells Municipal Airport","Bowbells","US","US-ND"
"5B6","","Falmouth Airpark","Falmouth","US","US-MA"
"5B7","","Rensselaer County Airport","Troy","US","US-NY"
"5B9","","Dean Memorial Airport","North Haverhill","US","US-NH"
"5BK","","Black Rapids Airport","Black Rapids","US","US-AK"
"5CA4","","Ludlow Airport","Barstow","US","US-CA"
"5CA7","","Agro-West Airport","Five Points","US","US-CA"
"5CA8","","Howard Private Airport","Ione","US","US-CA"
"5CD","","Chandalar Shelf Airport","Chandalar Camp","US","US-AK"
"5CL0","","Grupe Ranch Airport","Mariposa","US","US-CA"
"5CL1","","Hart Ranch Airport","Santa Margarita","US","US-CA"
"5CL3","","Mapes Ranch Airport","Modesto","US","US-CA"
"5CL7","","Gene Wash Reservoir Airport","Parker Dam","US","US-CA"
"5CL8","","Creekside Airport","Arvin","US","US-CA"
"5CL9","","Table Mountain Field","Auberry","US","US-CA"
"5CN4","","Vosburgh Airfield","New Cuyama","US","US-CA"
"5CO0","","Windy Plains Airport","Cheyenne Wells","US","US-CO"
"5CO1","","Spruce Point Tree Farm LLC Airport","Austin","US","US-CO"
"5CO4","","Spickard Farm Airport","Byers","US","US-CO"
"5CO8","","Pleasant Valley Airport","Oak Creek","US","US-CO"
"5CT0","","Eastford Airport","Eastford","US","US-CT"
"5CT5","","Thomson Field","Bethlehem","US","US-CT"
"5CT6","","Buell Farm Ultralightport","Eastford","US","US-CT"
"5CT7","","Mile Creek Airport","Old Lyme","US","US-CT"
"5D2","","Northwood Municipal Airport","Northwood","US","US-IA"
"5D5","","Woolsey Memorial Airport","Northport","US","US-MI"
"5D6","","Parsons Airport","Carrollton","US","US-OH"
"5D9","","Bandit Field Airdrome Airport","Clyde","US","US-OH"
"5E9","","Packer Airport","Radnor","US","US-OH"
"5F5","","Bluebird Hill Airport","Keithville","US","US-LA"
"5F8","","Thackers Airport","Oil City","US","US-LA"
"5FA1","","Flying Palomino Ranch Airport","Fruitland Park","US","US-FL"
"5FD0","","Manatee Springs Airport","Old Town","US","US-FL"
"5FD1","","Ron Wood Airport","Clarksville","US","US-FL"
"5FD7","","Chinsegut Airport","Brooksville","US","US-FL"
"5FL0","","Dusty Airpatch Airport","Dade City","US","US-FL"
"5FL1","","Ezell Airport","Keaton Beach","US","US-FL"
"5FL4","","Byrd Air Field","Elkton","US","US-FL"
"5FL7","","Twelve Oaks Airport","Hernando","US","US-FL"
"5FL8","","Chipola Airpark","Greenwood","US","US-FL"
"5G0","","Le Roy Airport","Le Roy","US","US-NY"
"5G2","","Indian Lake Airport","Central City","US","US-PA"
"5G4","","Eau Claire Lakes Airport","Barnes","US","US-WI"
"5G8","","Greensburg Jeannette Regional Airport","Jeannette","US","US-PA"
"5GA0","","Gable Branch Airport","Senoia","US","US-GA"
"5GA2","","Lyons Landing Airport","Whitesburg","US","US-GA"
"5GA3","","Eagles Landing Airport","Williamson","US","US-GA"
"5GA4","","Air Acres Airport","Woodstock","US","US-GA"
"5GA5","","Pinebrook Estates Airport","Griffin","US","US-GA"
"5GA6","","Roney Farms Airport","Lilly","US","US-GA"
"5GA7","","Panacea Airport","Franklin","US","US-GA"
"5GE1","","Peachtree Landings Airport","Fort Valley","US","US-GA"
